Major,Task_Frequency_Daily,Time_Saved_Hours_Weekly
Biology,1,9.371428571428572
Biology,2,8.555555555555555
Biology,3,8.555555555555555
Biology,4,8.518518518518519
Biology,5,8.37037037037037
Biology,6,8.65
Biology,7,7.458333333333333
Biology,8,7.6
Biology,9,8.833333333333334
Biology,10,8.217391304347826
Business Administration,1,7.851851851851852
Business Administration,2,10.0
Business Administration,3,10.45
Business Administration,4,7.08
Business Administration,5,8.392857142857142
Business Administration,6,8.793103448275861
Business Administration,7,8.481481481481481
Business Administration,8,9.03225806451613
Business Administration,9,8.958333333333334
Business Administration,10,9.0
Data Science,1,7.535714285714286
Data Science,2,10.137931034482758
Data Science,3,8.272727272727273
Data Science,4,8.076923076923077
Data Science,5,9.2
Data Science,6,8.857142857142858
Data Science,7,9.363636363636363
Data Science,8,9.323529411764707
Data Science,9,8.333333333333334
Data Science,10,8.48
Fine Arts,1,7.833333333333333
Fine Arts,2,9.137931034482758
Fine Arts,3,7.551724137931035
Fine Arts,4,9.285714285714286
Fine Arts,5,8.37037037037037
Fine Arts,6,8.451612903225806
Fine Arts,7,8.333333333333334
Fine Arts,8,8.0
Fine Arts,9,8.238095238095237
Fine Arts,10,6.454545454545454
Modern History,1,7.157894736842105
Modern History,2,9.44
Modern History,3,8.73076923076923
Modern History,4,9.0
Modern History,5,7.846153846153846
Modern History,6,7.5
Modern History,7,10.214285714285714
Modern History,8,9.318181818181818
Modern History,9,8.555555555555555
Modern History,10,7.5
Software Engineering,1,8.0
Software Engineering,2,8.771428571428572
Software Engineering,3,8.526315789473685
Software Engineering,4,8.0
Software Engineering,5,7.181818181818182
Software Engineering,6,8.0
Software Engineering,7,8.2
Software Engineering,8,9.344827586206897
Software Engineering,9,7.903225806451613
Software Engineering,10,9.884615384615385
